id_contrato,id_inadimplencia,status_contrato,data da criação,tipo_inadimplencia,tipo_reincidencia_inadimplencia,valor_comunicado_inadimplencia,status_inadimplencia,id_imobiliaria,valor_indenizado,responsavel_inadimplencia,data_de_provisionamento,data_de_indenizacao_paga,biometria
1751239,2741086,Cobrança,3/10/2025,Inadimplência,2. Segunda,"R$ 763,29",Devedor,3551,"R$ 844,20",1526,3/28/2025,3/28/2025,sem biometria
1754335,2782297,Cobrança,3/10/2025,Inadimplência,1. Primeira,"R$ 690,00",Concluido,3551,"R$ 771,88",2910,5/5/2025,5/5/2025,sem biometria
1986805,2730196,Cobrança,3/10/2025,Inadimplência,2. Segunda,"R$ 1.557,29",Devedor,3551,"R$ 1.721,32",1398,3/26/2025,3/26/2025,sem biometria
1892296,2759089,,3/10/2025,Inadimplência,2. Segunda,"R$ 517,50",Devedor,3551,"R$ 574,08",1145,4/8/2025,4/8/2025,sem biometria
529184,2759153,Cobrança,3/20/2025,Inadimplência,2. Segunda,"R$ 1.357,59",Devedor,3551,"R$ 1.499,23",2480,4/3/2025,4/3/2025,sem biometria
1929764,2759127,Cobrança,3/20/2025,Inadimplência,2. Segunda,"R$ 1.224,29",Concluido,3551,"R$ 1.352,02",1844,4/3/2025,4/3/2025,sem biometria
1641511,2764090,Cobrança,3/24/2025,Inadimplência,3. Saída,"R$ 3.631,37",Devedor,3551,"R$ 4.045,35",2842,5/5/2025,5/5/2025,sem biometria
1641511,2845738,Cobrança,3/24/2025,Inadimplência,3. Saída,"R$ 4.097,34",Devedor,3551,"R$ 4.097,34",2842,5/9/2025,5/9/2025,sem biometria
1751239,2774306,Cobrança,3/28/2025,Inadimplência,3. Saída,"R$ 3.915,57",Devedor,3551,"R$ 4.339,76",1526,4/23/2025,4/23/2025,sem biometria
1751239,2774302,Cobrança,3/28/2025,Inadimplência,3. Saída,"R$ 2.537,50",Devedor,3551,"R$ 2.537,50",1526,4/29/2025,4/29/2025,sem biometria
1751239,2774301,Cobrança,3/28/2025,Inadimplência,3. Saída,"R$ 1.462,50",Devedor,3551,"R$ 1.462,50",1526,4/23/2025,4/23/2025,sem biometria
529184,2845736,Cobrança,4/5/2025,Inadimplência,2. Segunda,"R$ 920,18",Devedor,3551,"R$ 1.022,01",2480,5/6/2025,5/6/2025,sem biometria
1809109,2833481,Cobrança,4/7/2025,Inadimplência,3. Saída,"R$ 2.573,03",Devedor,3551,"R$ 2.869,79",2943,5/22/2025,5/22/2025,sem biometria
1809109,2894119,Cobrança,4/7/2025,Inadimplência,3. Saída,"R$ 1.275,12",Devedor,3551,"R$ 1.426,43",2943,6/2/2025,6/2/2025,sem biometria
1809109,2833479,Cobrança,4/7/2025,Inadimplência,3. Saída,"R$ 825,00",Devedor,3551,"R$ 825,00",2943,5/22/2025,5/22/2025,sem biometria
1809109,2833478,Cobrança,4/7/2025,Inadimplência,3. Saída,"R$ 2.475,00",Devedor,3551,"R$ 2.475,00",2943,5/22/2025,5/22/2025,sem biometria
1884613,2838675,Cobrança,4/7/2025,Inadimplência,3. Saída,"R$ 4.184,77",Devedor,3551,"R$ 4.684,15",1507,6/4/2025,6/4/2025,sem biometria
1884613,2838671,Cobrança,4/7/2025,Inadimplência,3. Saída,"R$ 787,50",Devedor,3551,"R$ 787,50",1507,5/23/2025,5/23/2025,sem biometria
1884613,2838670,Cobrança,4/7/2025,Inadimplência,3. Saída,"R$ 3.262,50",Devedor,3551,"R$ 3.262,50",1507,5/23/2025,5/23/2025,sem biometria
2022389,2799863,Cobrança,4/7/2025,Inadimplência,1. Primeira,"R$ 1.907,29",Concluído – Ressarcimento,3551,"R$ 2.129,81",2880,5/26/2025,5/26/2025,sem biometria
2181550,2799882,Cobrança,4/7/2025,Inadimplência,1. Primeira,"R$ 1.537,29",Devedor,3551,"R$ 1.702,29",2882,4/29/2025,4/29/2025,SUCESSO
1986805,2804501,Cobrança,4/9/2025,Inadimplência,3. Saída,"R$ 4.712,32",Devedor,3551,"R$ 5.252,67",1398,5/22/2025,5/22/2025,sem biometria
1986805,2897636,Cobrança,4/9/2025,Inadimplência,3. Saída,"R$ 583,54",Devedor,3551,"R$ 583,54",1398,5/22/2025,5/22/2025,sem biometria
1986805,2897642,Cobrança,4/9/2025,Inadimplência,3. Saída,"R$ 3.616,46",Devedor,3551,"R$ 3.616,46",1398,5/22/2025,5/22/2025,sem biometria
1754335,2862467,Cobrança,4/10/2025,Inadimplência,1. Primeira,"R$ 690,00",Concluido,3551,"R$ 768,66",2910,5/21/2025,5/21/2025,sem biometria
2006553,2856217,Cobrança,4/11/2025,Inadimplência,3. Saída,"R$ 3.961,37",Devedor,3551,"R$ 4.444,66",2882,6/16/2025,6/16/2025,sem biometria
2006553,2856212,Cobrança,4/11/2025,Inadimplência,3. Saída,"R$ 2.454,17",Devedor,3551,"R$ 2.454,17",2882,6/9/2025,6/9/2025,sem biometria
2006553,2856213,Cobrança,4/11/2025,Inadimplência,3. Saída,"R$ 1.545,83",Devedor,3551,"R$ 1.545,83",2882,6/9/2025,6/9/2025,sem biometria
2386107,2898692,Cobrança,4/15/2025,Inadimplência,1. Primeira,"R$ 460,00",Devedor,3551,"R$ 515,51",3079,6/16/2025,6/16/2025,SUCESSO
2401797,2824062,Cobrança,4/16/2025,Inadimplência,3. Saída,"R$ 3.600,00",Devedor,3551,"R$ 3.600,00",1690,5/19/2025,5/19/2025,SUCESSO
2401797,2824063,Cobrança,4/16/2025,Inadimplência,3. Saída,"R$ 736,00",Devedor,3551,"R$ 817,94",1690,5/19/2025,5/19/2025,SUCESSO
1584672,2838426,Cobrança,4/22/2025,Inadimplência,2. Segunda,"R$ 952,76",Acordo,3551,"R$ 1.063,28",437,6/9/2025,6/9/2025,sem biometria
1929764,2838139,Cobrança,4/22/2025,Inadimplência,2. Segunda,"R$ 1.224,29",Devedor,3551,"R$ 1.352,84",1844,5/6/2025,5/6/2025,sem biometria
2070017,2838204,Cobrança,4/22/2025,Inadimplência,1. Primeira,"R$ 901,29",Devedor,3551,"R$ 1.005,84",2880,6/9/2025,6/9/2025,sem biometria
2189519,2838560,,4/22/2025,Inadimplência,1. Primeira,"R$ 2.953,29",Devedor,3551,"R$ 3.295,87",2584,6/9/2025,6/9/2025,SUCESSO
2216673,2837519,,4/22/2025,Inadimplência,2. Segunda,"R$ 903,29",Concluido,3551,"R$ 998,14",2481,5/6/2025,5/6/2025,SUCESSO
2366110,2837499,,4/22/2025,Inadimplência,1. Primeira,"R$ 1.974,29",Devedor,3551,"R$ 2.203,31",3068,6/9/2025,6/9/2025,sem biometria
2386107,2838535,Cobrança,4/22/2025,Inadimplência,1. Primeira,"R$ 818,79",Devedor,3551,"R$ 913,77",3079,6/9/2025,6/9/2025,SUCESSO
1954424,2870411,Cobrança,4/30/2025,Inadimplência,3. Saída,"R$ 5.800,00",Devedor,3551,"R$ 6.451,53",1963,6/6/2025,6/6/2025,sem biometria
1954424,2928343,Cobrança,4/30/2025,Inadimplência,3. Saída,"R$ 3.750,00",Devedor,3551,"R$ 3.750,00",1963,6/6/2025,6/6/2025,sem biometria
1954424,2870409,Cobrança,4/30/2025,Inadimplência,3. Saída,"R$ 750,00",Devedor,3551,"R$ 750,00",1963,6/6/2025,6/6/2025,sem biometria
2181550,2870478,Cobrança,5/5/2025,Inadimplência,2. Segunda,"R$ 1.862,29",Devedor,3551,"R$ 2.059,07",2882,5/22/2025,5/22/2025,SUCESSO
1754335,2898376,Cobrança,5/10/2025,Inadimplência,2. Segunda,"R$ 690,00",Devedor,3551,"R$ 763,14",2910,5/28/2025,5/28/2025,sem biometria
2386107,2916143,Cobrança,5/15/2025,Inadimplência,1. Primeira,"R$ 460,00",Devedor,3551,"R$ 511,98",3079,6/24/2025,6/24/2025,SUCESSO
2474142,2959059,Cobrança,5/19/2025,Inadimplência,3. Saída,"R$ 7.000,00",Devedor,3551,"R$ 7.000,00",3079,7/10/2025,7/10/2025,SUCESSO
2474142,2940542,Cobrança,5/19/2025,Inadimplência,3. Saída,"R$ 1.749,91",Devedor,3551,"R$ 1.955,23",3079,7/10/2025,7/10/2025,SUCESSO
1929764,2917127,Cobrança,5/20/2025,Inadimplência,2. Segunda,"R$ 1.224,29",Devedor,3551,"R$ 1.351,62",1844,6/2/2025,6/2/2025,sem biometria
2189519,2916088,,5/20/2025,Inadimplência,1. Primeira,"R$ 2.653,29",Devedor,3551,"R$ 2.941,61",2584,6/16/2025,6/16/2025,SUCESSO
2366110,3016773,,5/20/2025,Inadimplência,3. Saída,"R$ 2.250,00",Devedor,3551,"R$ 2.518,50",3068,7/17/2025,7/17/2025,sem biometria
2386107,2916071,Cobrança,5/20/2025,Inadimplência,1. Primeira,"R$ 818,79",Devedor,3551,"R$ 909,95",3079,6/24/2025,6/24/2025,SUCESSO
2386107,2995023,Cobrança,5/21/2025,Inadimplência,3. Saída,"R$ 3.895,72",Devedor,3551,"R$ 3.895,72",3079,8/11/2025,8/11/2025,SUCESSO
2181550,3031845,Cobrança,5/27/2025,Inadimplência,3. Saída,"R$ 5.383,19",Devedor,3551,"R$ 6.000,46",2882,7/10/2025,7/10/2025,SUCESSO
2181550,3031825,Cobrança,5/27/2025,Inadimplência,3. Saída,"R$ 3.900,00",Devedor,3551,"R$ 4.333,12",2882,7/10/2025,7/10/2025,SUCESSO
2181550,3032156,Cobrança,5/27/2025,Inadimplência,2. Segunda,"R$ 433,12",Devedor,3551,"R$ 433,12",2882,7/10/2025,7/10/2025,SUCESSO
1584672,2971452,Cobrança,5/28/2025,Inadimplência,3. Saída,"R$ 3.458,97",Acordo,3551,"R$ 3.850,99",437,7/7/2025,7/7/2025,sem biometria
1584672,2994778,Cobrança,5/28/2025,Inadimplência,3. Saída,"R$ 550,00",Acordo,3551,"R$ 550,00",437,7/7/2025,7/7/2025,sem biometria
1584672,2994773,Cobrança,5/28/2025,Inadimplência,3. Saída,"R$ 1.681,75",Acordo,3551,"R$ 1.681,75",437,7/10/2025,7/10/2025,sem biometria
2187516,2995457,Cobrança,5/30/2025,Inadimplência,3. Saída,"R$ 1.306,66",Devedor,3551,"R$ 1.459,97",1636,7/21/2025,7/21/2025,SUCESSO
1897173,2976553,Cobrança,6/2/2025,Inadimplência,3. Saída,"R$ 120,00",Devedor,3551,"R$ 120,00",1958,7/14/2025,7/14/2025,sem biometria
1897173,2976552,Cobrança,6/2/2025,Inadimplência,3. Saída,"R$ 2.812,50",Devedor,3551,"R$ 2.812,50",1958,7/14/2025,7/14/2025,sem biometria
1897173,2976554,Cobrança,6/2/2025,Inadimplência,3. Saída,"R$ 1.306,59",Devedor,3551,"R$ 1.455,98",1958,7/14/2025,7/14/2025,sem biometria
1315736,3010977,Cobrança,6/5/2025,Inadimplência,1. Primeira,"R$ 2.187,51",Devedor,3551,"R$ 2.443,45",3076,7/25/2025,7/25/2025,sem biometria
1892296,3036766,,6/10/2025,Inadimplência,2. Segunda,"R$ 72,75",Devedor,3551,"R$ 72,75",1145,7/9/2025,7/9/2025,sem biometria
1892296,3019184,,6/10/2025,Inadimplência,2. Segunda,"R$ 517,50",Devedor,3551,"R$ 574,42",1145,7/9/2025,7/9/2025,sem biometria
1997024,2978478,Cobrança,6/10/2025,Inadimplência,3. Saída,"R$ 2.090,00",Devedor,3551,"R$ 2.323,38",1715,7/14/2025,7/14/2025,sem biometria
2356503,3031260,,6/10/2025,Inadimplência,1. Primeira,"R$ 1.612,79",Acordo,3551,"R$ 1.802,02",2698,7/31/2025,7/31/2025,SUCESSO
2366110,3016772,,6/10/2025,Inadimplência,3. Saída,"R$ 400,00",Devedor,3551,"R$ 400,00",3068,7/17/2025,7/17/2025,sem biometria
2070017,3017347,Cobrança,6/16/2025,Inadimplência,3. Saída,"R$ 4.931,42",Devedor,3551,"R$ 5.536,34",2880,8/22/2025,8/22/2025,sem biometria
2070017,3017343,Cobrança,6/16/2025,Inadimplência,3. Saída,"R$ 3.040,00",Devedor,3551,"R$ 3.040,00",2880,8/22/2025,8/22/2025,sem biometria
2070017,3017346,Cobrança,6/16/2025,Inadimplência,3. Saída,"R$ 286,00",Devedor,3551,"R$ 286,00",2880,8/22/2025,8/22/2025,sem biometria
2187516,2995456,Cobrança,6/17/2025,Inadimplência,3. Saída,"R$ 3.164,58",Devedor,3551,"R$ 3.164,58",1636,7/21/2025,7/21/2025,SUCESSO
1929764,3007977,Cobrança,6/19/2025,Inadimplência,3. Saída,"R$ 5.499,21",Devedor,3551,"R$ 6.149,95",1844,8/12/2025,8/12/2025,sem biometria
1929764,3135324,Cobrança,6/19/2025,Inadimplência,3. Saída,"R$ 3.093,66",Devedor,3551,"R$ 3.459,74",1844,8/12/2025,8/12/2025,sem biometria
1929764,3135339,Cobrança,6/19/2025,Inadimplência,3. Saída,"R$ 906,34",Devedor,3551,"R$ 915,40",1844,8/12/2025,8/12/2025,sem biometria
2189519,3010525,,6/20/2025,Inadimplência,2. Segunda,"R$ 2.953,29",Devedor,3551,"R$ 3.301,78",2584,8/12/2025,8/12/2025,SUCESSO
526153,3042465,Cobrança,6/27/2025,Inadimplência,3. Saída,"R$ 3.229,16",Devedor,3551,"R$ 3.229,16",2583,8/13/2025,8/13/2025,sem biometria
1315736,3054786,Cobrança,7/7/2025,Inadimplência,1. Primeira,"R$ 2.390,79",Devedor,3551,"R$ 2.649,79",3076,8/1/2025,8/1/2025,sem biometria
2022389,3054835,Cobrança,7/7/2025,Inadimplência,2. Segunda,"R$ 1.557,29",Acordo,3551,"R$ 1.720,29",2880,7/21/2025,7/21/2025,sem biometria
2189519,3135095,,7/8/2025,Inadimplência,3. Saída,"R$ 6.458,33",Devedor,3551,"R$ 6.458,33",2584,8/12/2025,8/12/2025,SUCESSO
2189519,3135100,,7/8/2025,Inadimplência,3. Saída,"R$ 1.041,67",Devedor,3551,"R$ 1.041,67",2584,8/12/2025,8/12/2025,SUCESSO
2016674,3086390,Cobrança,7/10/2025,Inadimplência,3. Saída,"R$ 450,00",Concluido,3551,"R$ 450,00",3075,8/18/2025,8/18/2025,sem biometria
2016674,3086389,Cobrança,7/10/2025,Inadimplência,3. Saída,"R$ 2.800,00",Concluido,3551,"R$ 2.800,00",3075,8/18/2025,8/18/2025,sem biometria
2016674,3086391,Cobrança,7/10/2025,Inadimplência,3. Saída,"R$ 180,00",Concluido,3551,"R$ 180,00",3075,8/18/2025,8/18/2025,sem biometria
2016674,3086393,Cobrança,7/10/2025,Inadimplência,3. Saída,"R$ 885,47",Devedor,3551,"R$ 986,71",3075,8/22/2025,8/22/2025,sem biometria
2216673,3133103,,7/21/2025,Inadimplência,2. Segunda,"R$ 903,29",Devedor,3551,"R$ 1.001,15",2481,8/15/2025,8/15/2025,SUCESSO
1892296,3142740,,7/30/2025,Inadimplência,3. Saída,"R$ 4.050,00",Devedor,3551,"R$ 4.484,70",1145,8/21/2025,8/21/2025,sem biometria
289068,2909147,Cobrança,7/1/2025,Inadimplência,3. Saída,"R$ 1.538,35",Devedor,389,"R$ 1.538,35",2842,2/6/2025,2/6/2025,sem biometria
289068,2650078,Cobrança,7/1/2025,Inadimplência,3. Saída,"R$ 10.031,90",Devedor,389,"R$ 10.031,90",2842,2/6/2025,2/6/2025,sem biometria
172477,2613582,Cobrança,10/1/2025,Inadimplência,2. Segunda,"R$ 730,43",Devedor,389,"R$ 810,77",2584,17/02/2025,17/02/2025,sem biometria
1415430,2638731,Cobrança,10/1/2025,Inadimplência,1. Primeira,"R$ 1.447,16",Devedor,389,"R$ 1.606,34",1145,28/02/2025,28/02/2025,sem biometria
456570,2619854,Cobrança,10/1/2025,Inadimplência,2. Segunda,"R$ 2.270,41",Devedor,389,"R$ 2.520,15",1462,13/02/2025,13/02/2025,sem biometria
385603,2639645,Cobrança,10/1/2025,Inadimplência,2. Segunda,"R$ 3.641,99",Devedor,389,"R$ 4.042,60",2865,24/03/2025,24/03/2025,sem biometria
1107210,2618363,Cobrança,10/1/2025,Inadimplência,1. Primeira,"R$ 954,85",Concluido,389,"R$ 1.059,88",2837,17/02/2025,17/02/2025,sem biometria
253598,2638501,Cobrança,10/1/2025,Inadimplência,2. Segunda,"R$ 2.377,32",Concluido,389,"R$ 2.638,82",2740,24/03/2025,24/03/2025,sem biometria
146839,2618048,Cobrança,10/1/2025,Inadimplência,2. Segunda,"R$ 1.185,34",Concluido,389,"R$ 1.315,72",2404,17/02/2025,17/02/2025,sem biometria
1932533,2618175,Cobrança,10/1/2025,Inadimplência,1. Primeira,"R$ 4.139,66",Devedor,389,"R$ 4.595,02",2005,17/02/2025,17/02/2025,sem biometria
1363324,2638547,Cobrança,10/1/2025,Inadimplência,2. Segunda,"R$ 1.871,81",Devedor,389,"R$ 2.077,70",2582,25/03/2025,25/03/2025,sem biometria
2013099,2639638,,10/1/2025,Inadimplência,1. Primeira,"R$ 1.807,30",Devedor,389,"R$ 2.006,10",3070,31/03/2025,31/03/2025,sem biometria
1802074,2639221,Cobrança,10/1/2025,Inadimplência,2. Segunda,"R$ 3.987,20",Devedor,389,"R$ 4.425,79",2404,21/03/2025,21/03/2025,sem biometria
1606116,2639631,Cobrança,10/1/2025,Inadimplência,1. Primeira,"R$ 1.072,11",Concluido,389,"R$ 1.190,04",2700,30/04/2025,30/04/2025,sem biometria
4061,2618325,Cobrança,10/1/2025,Inadimplência,2. Segunda,"R$ 3.350,18",Concluido,389,"R$ 3.718,69",2700,17/02/2025,17/02/2025,#N/A
1987742,2632236,Cobrança,10/1/2025,Inadimplência,1. Primeira,"R$ 7.564,87",Devedor,389,"R$ 8.397,00",3070,13/05/2025,13/05/2025,sem biometria
2056535,2618203,Cobrança,10/1/2025,Inadimplência,1. Primeira,"R$ 2.117,88",Devedor,389,"R$ 2.350,84",1844,14/04/2025,14/04/2025,sem biometria
1665746,3092452,Cobrança,14/01/2025,Inadimplência,2. Segunda,"R$ 80,21",Devedor,389,"R$ 80,21",3075,4/9/2025,4/9/2025,sem biometria
1665746,2909094,Cobrança,14/01/2025,Inadimplência,3. Saída,"R$ 1.390,62",Devedor,389,"R$ 1.390,62",3075,11/6/2025,11/6/2025,sem biometria
1665746,2909077,Cobrança,14/01/2025,Inadimplência,3. Saída,"R$ 4.992,82",Devedor,389,"R$ 4.992,82",3075,3/10/2025,3/10/2025,sem biometria
1693724,2636024,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 3.726,52",Devedor,389,"R$ 4.136,43",2882,27/02/2025,27/02/2025,sem biometria
1323163,2722848,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 2.089,02",Devedor,389,"R$ 2.318,81",2865,7/4/2025,7/4/2025,sem biometria
1475714,2644720,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 1.466,70",Devedor,389,"R$ 1.628,03",3115,24/03/2025,24/03/2025,sem biometria
1088415,2722872,,15/01/2025,Inadimplência,2. Segunda,"R$ 2.280,85",Concluido,389,"R$ 2.531,74",2742,7/4/2025,7/4/2025,sem biometria
1390371,2620121,,15/01/2025,Inadimplência,1. Primeira,"R$ 3.430,21",Acordo,389,"R$ 3.807,53",3073,21/03/2025,21/03/2025,sem biometria
1483505,2682872,Cobrança,15/01/2025,Inadimplência,1. Primeira,"R$ 1.063,77",Devedor,389,"R$ 1.180,78",2480,24/03/2025,24/03/2025,sem biometria
1079120,2613407,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 2.104,64",Devedor,389,"R$ 2.336,15",1735,27/03/2025,27/03/2025,sem biometria
1168675,2732020,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 655,85",Concluido,389,"R$ 727,99",653,8/4/2025,8/4/2025,sem biometria
1783067,2732150,,15/01/2025,Inadimplência,2. Segunda,"R$ 1.634,62",Devedor,389,"R$ 1.814,42",2404,9/5/2025,6/5/2025,sem biometria
1057855,2639599,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 2.927,91",Devedor,389,"R$ 3.249,98",2584,13/03/2025,13/03/2025,sem biometria
1272941,2617337,Cobrança,15/01/2025,Inadimplência,1. Primeira,"R$ 1.424,52",Concluido,389,"R$ 1.581,21",2538,24/03/2025,24/03/2025,sem biometria
1408025,2732057,Cobrança,15/01/2025,Inadimplência,1. Primeira,"R$ 2.654,04",Devedor,389,"R$ 2.945,98",2865,6/5/2025,6/5/2025,sem biometria
832578,2638838,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 870,63",Devedor,389,"R$ 966,39",437,28/02/2025,28/02/2025,sem biometria
1140219,2680763,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 980,85",Devedor,389,"R$ 1.088,74",2742,31/03/2025,31/03/2025,sem biometria
1997039,2650428,,15/01/2025,Inadimplência,1. Primeira,"R$ 3.930,41",Acordo,389,"R$ 4.362,75",1853,31/03/2025,31/03/2025,sem biometria
1069949,2634464,Cobrança,15/01/2025,Inadimplência,2. Segunda,"R$ 3.297,39",Devedor,389,"R$ 3.660,10",1827,31/03/2025,31/03/2025,sem biometria
2019967,2617405,,15/01/2025,Inadimplência,1. Primeira,"R$ 2.841,23",Devedor,389,"R$ 3.182,17",2404,27/03/2025,27/03/2025,sem biometria
1722376,2731903,Cobrança,15/01/2025,Inadimplência,3. Saída,"R$ 4.021,32",Concluido,389,"R$ 4.463,66",2946,5/5/2025,5/5/2025,sem biometria
1192980,2639533,Cobrança,15/01/2025,Inadimplência,1. Primeira,"R$ 1.271,10",Concluido,389,"R$ 1.410,92",3079,28/02/2025,28/02/2025,sem biometria
385603,2684921,Cobrança,16/01/2025,Inadimplência,3. Saída,"R$ 6.368,40",Devedor,389,"R$ 6.368,40",2865,25/09/2025,25/09/2025,sem biometria
456570,2584274,Cobrança,17/01/2025,Inadimplência,2. Segunda,"R$ 110,00",Custas cobrança judicial,389,"R$ 110,00",1462,17/01/2025,17/01/2025,sem biometria
1102238,2684843,Cobrança,20/01/2025,Inadimplência,3. Saída,"R$ 416,67",Devedor,389,"R$ 462,50",2842,5/5/2025,5/5/2025,sem biometria
1102238,2922328,Cobrança,20/01/2025,Inadimplência,3. Saída,"R$ 127,32",Devedor,389,"R$ 127,32",2842,3/6/2025,3/6/2025,sem biometria
1094840,2587049,,23/01/2025,Inadimplência,2. Segunda,"R$ 110,00",Concluido,389,"R$ 110,00",3068,23/01/2025,23/01/2025,sem biometria
1580834,2602514,Cobrança,29/01/2025,Inadimplência,2. Segunda,"R$ 110,00",Custas cobrança judicial,389,"R$ 110,00",2842,29/01/2025,29/01/2025,sem biometria
1730458,2653373,Cobrança,30/01/2025,Inadimplência,2. Segunda,"R$ 2.209,12",Devedor,389,"R$ 2.452,12",1853,27/03/2025,27/03/2025,sem biometria
310947,2651939,,30/01/2025,Inadimplência,2. Segunda,"R$ 1.358,85",Devedor,389,"R$ 1.508,32",1478,27/02/2025,27/02/2025,sem biometria
1384686,2717025,Cobrança,31/01/2025,Inadimplência,3. Saída,"R$ 1.914,75",Devedor,389,"R$ 1.914,75",1398,13/05/2025,13/05/2025,sem biometria
1384686,2852350,Cobrança,31/01/2025,Inadimplência,3. Saída,"R$ 260,00",Devedor,389,"R$ 260,00",1398,13/05/2025,13/05/2025,sem biometria
1384686,2852347,Cobrança,31/01/2025,Inadimplência,3. Saída,"R$ 4.110,00",Devedor,389,"R$ 4.110,00",1398,13/05/2025,13/05/2025,sem biometria
1844984,3007238,Cobrança,6/2/2025,Inadimplência,3. Saída,"R$ 565,57",Devedor,389,"R$ 565,57",3070,8/8/2025,8/8/2025,sem biometria
1844984,2749529,Cobrança,6/2/2025,Inadimplência,3. Saída,"R$ 2.957,01",Acordo,389,"R$ 2.957,01",3070,3/7/2025,3/7/2025,sem biometria
1987742,2718940,Cobrança,10/2/2025,Inadimplência,1. Primeira,"R$ 5.684,74",Devedor,389,"R$ 6.310,06",3070,5/5/2025,5/5/2025,sem biometria
1148810,2722546,Cobrança,10/2/2025,Inadimplência,2. Segunda,"R$ 3.535,11",Devedor,389,"R$ 3.923,97",2843,20/06/2025,20/06/2025,sem biometria
1996198,2722618,Cobrança,10/2/2025,Inadimplência,1. Primeira,"R$ 2.235,44",Concluido,389,"R$ 2.481,33",1145,7/4/2025,7/4/2025,sem biometria
2040858,2685136,Cobrança,10/2/2025,Inadimplência,1. Primeira,"R$ 2.547,89",Devedor,389,"R$ 2.828,15",2843,10/4/2025,10/4/2025,sem biometria
1932533,2722511,Cobrança,10/2/2025,Inadimplência,2. Segunda,"R$ 4.139,66",Devedor,389,"R$ 4.595,02",2005,7/4/2025,7/4/2025,sem biometria
